park,status,mound_fx,mound_fy,ref_frame,n_frames,notes
ATH,eligible,0.35994,0.83480,776138_547184_L_c02.jpg,52,
ATL,eligible,0.47042,0.75727,776149_670912_L_c00.jpg,18,
AZ,eligible,0.29009,0.76740,776255_621111_R_c01.jpg,28,
BAL,eligible,0.41554,0.83329,776191_669947_R_c01.jpg,15,
BOS,eligible,0.50036,0.83836,776151_663432_L_c00.jpg,21,
CHC,eligible,0.35567,0.83329,776209_623211_R_c02.jpg,29,
CIN,eligible,0.51247,0.80795,776267_573124_R_c02.jpg,26,
CLE,ineligible,0.32787,0.77247,776147_571948_R_c02.jpg,26,
COL,eligible,0.39344,0.88398,776232_623474_R_c01.jpg,14,
CWS,ineligible,0.38774,0.78261,776235_663158_L_c01.jpg,24,
DET,ineligible,0.29936,0.81809,776238_663554_R_c01.jpg,14,
KC,ineligible,0.28154,0.81452,776229_622554_R_c00.jpg,18,
LAA,eligible,0.37847,0.76740,776207_666142_R_c01.jpg,55,
LAD,eligible,0.43051,0.80795,776227_686218_L_c00.jpg,20,
MIA,eligible,0.39629,0.80795,776148_640455_R_c02.jpg,29,
MIL,eligible,0.49822,0.79425,776144_657649_L_c01.jpg,28,
MIN,eligible,0.36921,0.81809,776225_680573_L_c01.jpg,14,
NYM,eligible,0.32003,0.82466,776237_605280_R_c00.jpg,25,
NYY,eligible,0.36707,0.80795,776174_701542_R_c00.jpg,17,
PHI,ineligible,0.23165,0.86370,776163_701487_R_c00.jpg,30,
PIT,eligible,0.48610,0.82823,776308_669387_R_c02.jpg,27,
SD,eligible,0.30435,0.88548,776136_686826_R_c01.jpg,63,
SEA,eligible,0.40699,0.83836,776150_571760_L_c01.jpg,16,
SF,eligible,0.35210,0.83480,776137_663941_R_c01.jpg,66,
STL,ineligible,0.35638,0.75220,776231_676617_L_c02.jpg,22,
TB,ineligible,0.45830,0.76233,776236_664076_R_c01.jpg,14,
TEX,eligible,0.48040,0.85864,776183_571948_R_c02.jpg,12,
TOR,eligible,0.38275,0.82466,776145_592332_L_c01.jpg,14,
WSH,ineligible,0.40342,0.82823,776165_672782_L_c02.jpg,30,
