channel,delta_in,L,R,wtd
all three (phase 7),-36,2.72740084292608,6.82357470453573,4.83237338823401
all three (phase 7),-33,2.17972911085997,5.66011464037636,3.96825572965932
all three (phase 7),-30,1.67344103194335,4.59917265806416,3.17693794296151
all three (phase 7),-27,1.22134564299502,3.62113123074704,2.45456545922094
all three (phase 7),-24,0.834543103955291,2.7724391461015,1.8304036563137
all three (phase 7),-21,0.522810632089367,2.05492828604055,1.31014674298421
all three (phase 7),-18,0.291700096437129,1.4899490222304,0.90746524129072
all three (phase 7),-15,0.134988255944718,1.04767801441988,0.604008114203124
all three (phase 7),-12,0.0266147163154862,0.741216210642314,0.393839491731364
all three (phase 7),-9,-0.0184300446081892,0.525309168428498,0.260990740231201
all three (phase 7),-6,0.00794230855097835,0.358242566229774,0.187957232218891
all three (phase 7),-3,0.0399261892466264,0.180509659323899,0.112170277225961
all three (phase 7),0,0,0,0
all three (phase 7),3,0.00990112442877944,-0.128279336385283,-0.0611080871278068
all three (phase 7),6,-0.0496322155766767,-0.159630465190158,-0.106158941074924
all three (phase 7),9,0.181755397398746,-0.0888288485084776,0.0427055357300975
all three (phase 7),12,0.381971699387716,0.0952586559166874,0.234633450260998
all three (phase 7),15,0.590844769958342,0.60473471387873,0.59798263851473
all three (phase 7),18,0.850683877607368,0.797438942699541,0.823321971119922
all three (phase 7),21,1.17221952630922,0.947553668659116,1.05676655038605
all three (phase 7),24,1.54139831315843,1.14594194086668,1.33817822664236
all three (phase 7),27,1.95042570447533,1.36425595102884,1.6492003953011
all three (phase 7),30,2.3995016479495,1.62031192078384,1.99908578703066
all three (phase 7),33,2.87058893707365,1.90469981740275,2.37423059208877
all three (phase 7),36,3.37573366747258,2.20444171268166,2.77382137305496
haa + release_pos_x,-36,3.18155663834995,6.46610573031627,4.86944535984779
haa + release_pos_x,-33,2.57985763718402,5.34829452304059,4.00252274736464
haa + release_pos_x,-30,2.02356545549213,4.31436754381854,3.20078001365697
haa + release_pos_x,-27,1.52437146986991,3.36031973292585,2.46784233290107
haa + release_pos_x,-24,1.09192529963205,2.52717449231737,1.82948191913813
haa + release_pos_x,-21,0.741303284500407,1.82267716683042,1.29700780545627
haa + release_pos_x,-18,0.470843447761679,1.26809675561412,0.880541957000703
haa + release_pos_x,-15,0.277585223119396,0.828486703321174,0.560686607526587
haa + release_pos_x,-12,0.132451097797627,0.52268802563781,0.332988977053099
haa + release_pos_x,-9,0.0475720240120908,0.287473469786566,0.170854378227521
haa + release_pos_x,-6,0.00516100262038999,0.142856494018394,0.0759209944561815
haa + release_pos_x,-3,-0.000945420105660087,0.0656535604046779,0.0332789634913462
haa + release_pos_x,0,0,0,0
haa + release_pos_x,3,0.0226783271606611,-0.0245340922739498,-0.0015835450315425
haa + release_pos_x,6,0.0817124446359329,-0.0219511614650065,0.0284410132557364
haa + release_pos_x,9,0.199921389187231,0.0189426711469203,0.106918688220291
haa + release_pos_x,12,0.367206466245679,0.0710868582690681,0.215034301201598
haa + release_pos_x,15,0.58869568718051,0.152804469323172,0.364696638963847
haa + release_pos_x,18,0.863025595479654,0.260612378566648,0.553452973473272
haa + release_pos_x,21,1.19518405226657,0.39339976841424,0.783157131098408
haa + release_pos_x,24,1.56702539365861,0.584033291298384,1.06187803965697
haa + release_pos_x,27,1.97176063501689,0.799051080523112,1.36911985383197
haa + release_pos_x,30,2.40928467436228,1.05511438778163,1.71339349121707
haa + release_pos_x,33,2.863665768676,1.34168259584027,2.08153764094538
haa + release_pos_x,36,3.35500030264262,1.64512715717634,2.47631786660182
haa + stance,-36,14.2660106714815,30.6599986390698,22.6906761631755
haa + stance,-33,12.2749872465596,26.9008656803525,19.7910433502054
haa + stance,-30,10.4077087196006,23.3328015299587,17.0497523511835
haa + stance,-27,8.6707460348816,19.9124928648862,14.4477392089856
haa + stance,-24,7.0697712108652,16.6602344755416,11.9981904017916
haa + stance,-21,5.58298208492906,13.5527322110735,9.67853705287812
haa + stance,-18,4.216168006242,10.6375759052144,7.51604925792516
haa + stance,-15,2.9868582941623,7.94875394098145,5.53671444336707
haa + stance,-12,1.93093159795724,5.60288889625408,3.81790455408576
haa + stance,-9,1.10095865000969,3.64053070376566,2.40601298378421
haa + stance,-6,0.533171464520302,2.05914224256457,1.31734877272253
haa + stance,-3,0.195153293203038,0.841345754305619,0.527223521557891
haa + stance,0,0,0,0
haa + stance,3,0.0155481460553371,-0.523174715994089,-0.261294798716087
haa + stance,6,0.0844468761911515,-0.725326131185114,-0.331685350136919
haa + stance,9,0.529854662163956,-0.656995737510732,-0.08005292259887
haa + stance,12,1.03361953901959,-0.329784278702547,0.332983359639907
haa + stance,15,1.59733064466587,0.422000783239366,0.993343320502057
haa + stance,18,2.25192475591367,0.938350876319512,1.57689555886373
haa + stance,21,3.00156458306542,1.47269049048824,2.21589529781617
haa + stance,24,3.83815109411683,2.08405685450292,2.93674399055724
haa + stance,27,4.74227520739636,2.7446737913896,3.71573280972819
haa + stance,30,5.7329067290657,3.47018093163669,4.5701202258394
