design,outcome,regressor,controls,n_cells,n_pitchers,slope_per_in,se,t,ci_lo,ci_hi
D1 panel,rv_saved_per_100,toward_batter_in,none,121596,1638,0.00201424778847158,0.00556047897311358,0.362243576175904,-0.00888429099883104,0.0129127865757742
D1 panel + velo,rv_saved_per_100,toward_batter_in,velo_med,121596,1638,0.00169604472335909,0.00555477190006053,0.305331119598379,-0.00919130820075954,0.0125833976474777
D1 PLACEBO vertical,rv_saved_per_100,rel_z_rel_own,none,121596,1638,0.00603240476383632,0.0129222920046484,0.466821579458685,-0.0192952875652746,0.0313600970929473
D1 panel,whiff_rate,toward_batter_in,none,121514,1638,-9.08659398955445e-07,0.000175508170080656,-0.00517730541283556,-0.000344904672757042,0.000343087353959131
D1 panel + velo,whiff_rate,toward_batter_in,velo_med,121514,1638,-1.6905566871066e-05,0.000174898942418938,-0.0966590571518261,-0.000359707494012184,0.000325896360270052
D1 PLACEBO vertical,whiff_rate,rel_z_rel_own,none,121514,1638,-0.00220395698417343,0.000447859820982009,-4.92108664568497,-0.00308176223329817,-0.00132615173504869
D1 panel,miss_mean,toward_batter_in,none,67869,1229,0.00226255685026202,0.00138246489294655,1.63661071019291,-0.000447074339913225,0.00497218804043726
D1 panel + velo,miss_mean,toward_batter_in,velo_med,67869,1229,0.00224706944626057,0.0013791488304296,1.62931613809991,-0.000456062261381451,0.00495020115390258
D1 PLACEBO vertical,miss_mean,rel_z_rel_own,none,67869,1229,-0.0191985024839785,0.00418094698823908,-4.59190287224006,-0.0273931585809271,-0.0110038463870299
D2 movers,rv_saved_per_100,toward_batter_in,none,26259,525,0.00185399058419427,0.00716166004374171,0.258877211829456,-0.0121828631015395,0.015890844269928
D2 movers PLACEBO vertical,rv_saved_per_100,rel_z_rel_own,none,26259,525,-0.0252636929266797,0.0278198878459232,-0.908116275184119,-0.0797906731046892,0.0292632872513297
D2 movers,whiff_rate,toward_batter_in,none,26244,525,-7.50459964127412e-05,0.000222383799461427,-0.337461616333964,-0.000510918243357138,0.000360826250531655
D2 movers PLACEBO vertical,whiff_rate,rel_z_rel_own,none,26244,525,-0.00214290169231633,0.000829860998104213,-2.58224172145903,-0.00376942924860058,-0.00051637413603207
D2 movers,miss_mean,toward_batter_in,none,14588,372,0.00163692117609406,0.00175448641135042,0.932991652431285,-0.00180187219015276,0.00507571454234088
D2 movers PLACEBO vertical,miss_mean,rel_z_rel_own,none,14588,372,-0.0114436574155291,0.00662752548942004,-1.72668629246275,-0.0244336073747923,0.00154629254373421
D3 platoon DD (all),rv_saved_per_100,d_toward_batter_in,pitcher FE on within-game difference,38069,1538,-0.0103845443902361,0.0224349520487714,-0.462873482754103,-0.054357050405828,0.0335879616253558
D3 platoon DD (>=3in),rv_saved_per_100,d_toward_batter_in,pitcher FE on within-game difference,1966,466,-0.0642258752834465,0.0442602264859547,-1.45109685111593,-0.150975919195918,0.0225241686290246
D3 platoon DD (all),whiff_rate,d_toward_batter_in,pitcher FE on within-game difference,38034,1537,0.000979343119826641,0.000712235953447054,1.37502623265064,-0.000416639348929584,0.00237532558858287
D3 platoon DD (>=3in),whiff_rate,d_toward_batter_in,pitcher FE on within-game difference,1966,466,-0.00121484968410492,0.00139595965011223,-0.870261317372068,-0.00395093059832488,0.00152123123011505
D3 platoon DD (all),miss_mean,d_toward_batter_in,pitcher FE on within-game difference,21551,1166,0.000645956901274875,0.00414634848377435,0.155789341827552,-0.00748088612692286,0.00877279992947261
D3 platoon DD (>=3in),miss_mean,d_toward_batter_in,pitcher FE on within-game difference,1146,319,0.00182723943760287,0.00805015213881995,0.226981975755643,-0.0139510587544842,0.01760553762969
