p_throws,delta_in,n_p,vs_lhh,vs_rhh,weighted
L,-36,127,-1.726,1.59,0.4
L,-35,127,-1.709,1.55,0.382
L,-34,127,-1.683,1.54,0.384
L,-33,127,-1.661,1.498,0.365
L,-32,127,-1.626,1.451,0.348
L,-31,127,-1.581,1.431,0.352
L,-30,127,-1.547,1.385,0.335
L,-29,127,-1.505,1.336,0.319
L,-28,127,-1.462,1.297,0.31
L,-27,127,-1.413,1.241,0.293
L,-26,127,-1.364,1.178,0.272
L,-25,127,-1.321,1.13,0.257
L,-24,127,-1.263,1.072,0.241
L,-23,127,-1.212,1.013,0.222
L,-22,127,-1.157,0.963,0.211
L,-21,127,-1.088,0.902,0.198
L,-20,127,-1.008,0.846,0.191
L,-19,127,-0.926,0.794,0.188
L,-18,127,-0.852,0.742,0.18
L,-17,127,-0.767,0.69,0.177
L,-16,127,-0.702,0.651,0.173
L,-15,127,-0.615,0.607,0.175
L,-14,127,-0.545,0.571,0.175
L,-13,127,-0.474,0.542,0.182
L,-12,127,-0.409,0.517,0.189
L,-11,127,-0.319,0.49,0.204
L,-10,127,-0.242,0.464,0.213
L,-9,127,-0.149,0.438,0.231
L,-8,127,-0.051,0.412,0.251
L,-7,127,0.019,0.379,0.256
L,-6,127,0.102,0.32,0.25
L,-5,127,0.173,0.236,0.222
L,-4,127,0.127,0.172,0.165
L,-3,127,0.044,0.141,0.112
L,-2,127,-0.03,0.117,0.066
L,-1,127,-0.069,0.066,0.017
L,0,127,0,0,0
L,1,127,0.087,-0.042,0.007
L,2,127,0.107,-0.076,-0.008
L,3,127,0.136,-0.054,0.014
L,4,127,0.172,-0.016,0.05
L,5,127,0.199,0.039,0.096
L,6,127,0.312,0.105,0.182
L,7,127,0.435,0.183,0.274
L,8,127,0.609,0.271,0.393
L,9,127,0.782,0.366,0.518
L,10,127,0.944,0.48,0.648
L,11,127,1.075,0.603,0.77
L,12,127,1.241,0.784,0.945
L,13,127,1.421,1.035,1.167
L,14,127,1.608,1.357,1.439
