pt,p_throws,delta_3b_in,d_stuff,n
SI,R,36,1.2463349735306,25818
FC,R,36,11.7450446508566,13054
SL,R,36,15.6015564778377,20362
CU,R,36,17.6316027417719,11619
FF,R,36,3.17961214368331,52611
CH,R,36,1.87015109717822,16724
FS,R,36,3.72584562588133,6921
ST,R,36,8.2111117700761,12577
CU,L,36,-0.658338732035118,4418
SI,L,36,1.39182202329395,11579
ST,L,36,-2.56572252556008,4904
FF,L,36,0.413137720088829,21223
CH,L,36,5.03652810532795,9928
SL,L,36,-2.16024340425829,8724
FC,L,36,-0.883620840294132,4405
FS,L,36,4.4903528142316,781
SI,R,35,1.08732040667048,25818
FC,R,35,11.114176609388,13054
SL,R,35,14.8846885751818,20362
CU,R,35,17.0241615545941,11619
FF,R,35,2.78646874733623,52611
CH,R,35,1.62363188898079,16724
FS,R,35,3.37173849108174,6921
ST,R,35,7.9879393056761,12577
CU,L,35,-0.653307912202243,4418
SI,L,35,1.33750140056378,11579
ST,L,35,-2.47595416522505,4904
FF,L,35,0.407727224353524,21223
CH,L,35,4.87505951685526,9928
SL,L,35,-2.1508546567046,8724
FC,L,35,-0.873380569583745,4405
FS,L,35,4.40229036474686,781
SI,R,34,0.950614784010446,25818
FC,R,34,10.4190753336343,13054
SL,R,34,14.1081628378026,20362
CU,R,34,16.4064741531809,11619
FF,R,34,2.43193538579149,52611
CH,R,34,1.39826434024099,16724
FS,R,34,3.04749962149689,6921
ST,R,34,7.75278623303013,12577
CU,L,34,-0.642431747651032,4418
SI,L,34,1.2934967400626,11579
ST,L,34,-2.371876471497,4904
FF,L,34,0.40914002509446,21223
CH,L,34,4.80429933514216,9928
SL,L,34,-2.13119764269195,8724
FC,L,34,-0.86641632315461,4405
FS,L,34,4.31440906026516,781
SI,R,33,0.823522062444948,25818
FC,R,33,9.70808526355047,13054
SL,R,33,13.3503217009842,20362
CU,R,33,15.7519935372632,11619
FF,R,33,2.11086605616151,52611
CH,R,33,1.1965138578768,16724
FS,R,33,2.73866059980662,6921
ST,R,33,7.49079377029673,12577
CU,L,33,-0.622279366770576,4418
SI,L,33,1.22530338302865,11579
ST,L,33,-2.26543415025249,4904
FF,L,33,0.398787183072778,21223
CH,L,33,4.66337253037341,9928
SL,L,33,-2.11194176793984,8724
FC,L,33,-0.859750569301114,4405
FS,L,33,4.21597694388068,781
SI,R,32,0.718664697391419,25818
FC,R,32,9.0569108624009,13054
SL,R,32,12.5528289309973,20362
CU,R,32,15.0196865467709,11619
FF,R,32,1.81985858293877,52611
CH,R,32,1.00850009371836,16724
FS,R,32,2.43880556938252,6921
ST,R,32,7.21879922478023,12577
CU,L,32,-0.596721351664578,4418
SI,L,32,1.17012762567607,11579
ST,L,32,-2.14777161271206,4904
FF,L,32,0.38857377121248,21223
CH,L,32,4.5298114272779,9928
SL,L,32,-2.08243475043593,8724
FC,L,32,-0.850019880976766,4405
FS,L,32,4.1464190742737,781
SI,R,31,0.620046154966019,25818
FC,R,31,8.38707787835453,13054
SL,R,31,11.7517333375587,20362
CU,R,31,14.3178095648455,11619
FF,R,31,1.56491170289752,52611
CH,R,31,0.832798171107348,16724
FS,R,31,2.16008181051356,6921
ST,R,31,6.91424818632362,12577
CU,L,31,-0.564262501873478,4418
SI,L,31,1.13706877599611,11579
ST,L,31,-2.01319476985541,4904
FF,L,31,0.390954074244875,21223
CH,L,31,4.44040706589436,9928
SL,L,31,-2.05041774726883,8724
FC,L,31,-0.839465841955764,4405
FS,L,31,4.07639214095373,781
SI,R,30,0.527811387370223,25818
FC,R,30,7.71022300096628,13054
SL,R,30,10.9791201948614,20362
CU,R,30,13.5898127805189,11619
FF,R,30,1.33586662755267,52611
CH,R,30,0.668534753837709,16724
FS,R,30,1.89490823064945,6921
ST,R,30,6.60425902718633,12577
CU,L,30,-0.520056760529964,4418
SI,L,30,1.08250982041834,11579
ST,L,30,-1.86968489472694,4904
FF,L,30,0.37972023118212,21223
CH,L,30,4.26880437602437,9928
SL,L,30,-2.01174608438095,8724
FC,L,30,-0.827841133647673,4405
FS,L,30,3.96872664870516,781
SI,R,29,0.448462060075698,25818
FC,R,29,7.03913062574284,13054
SL,R,29,10.1519016402999,20362
CU,R,29,12.8287698148998,11619
FF,R,29,1.12772831691871,52611
CH,R,29,0.522078255602918,16724
FS,R,29,1.65478636031416,6921
ST,R,29,6.27417770416616,12577
CU,L,29,-0.494636405243927,4418
SI,L,29,1.03276726414923,11579
ST,L,29,-1.71873961335496,4904
FF,L,29,0.361823897324948,21223
CH,L,29,4.08653751373179,9928
SL,L,29,-1.97324212423697,8724
FC,L,29,-0.818156895780894,4405
FS,L,29,3.92524926748412,781
SI,R,28,0.376077110355445,25818
FC,R,28,6.41514584507987,13054
SL,R,28,9.40018755753971,20362
CU,R,28,12.0624582751162,11619
FF,R,28,0.946688513790369,52611
CH,R,28,0.387823887009486,16724
FS,R,28,1.44715773421532,6921
ST,R,28,5.96006407213154,12577
CU,L,28,-0.46603192363573,4418
SI,L,28,0.994605804548383,11579
ST,L,28,-1.58016423792035,4904
FF,L,28,0.350677861238249,21223
CH,L,28,3.94220368145117,9928
SL,L,28,-1.93758298482655,8724
FC,L,28,-0.805198994758591,4405
FS,L,28,3.94909043750275,781
SI,R,27,0.305351382462717,25818
FC,R,27,5.82988481034179,13054
